Pop	Mean_r2_Before	Mean_r2_After	Mean_r2_Across	Mean_D_Before	Mean_D_After	Mean_D_Across	Mean_Dprime_Before	Mean_Dprime_After	Mean_Dprime_Across	Region
ACB	0.0916913	0.0863512	0.0614681	0.0113869	0.00906328	0.00619268	0.00419686	-0.0821614	-0.073643	AFR
ASW	0.105126	0.108311	0.0711754	0.0167971	0.012412	0.00815064	0.087913	-0.0315907	-0.0337511	AFR
BEB	0.149965	0.235442	0.124246	0.0338216	0.0353928	0.023865	0.190949	0.159989	0.0968629	SAS
CDX	0.359559	0.208004	0.176461	0.0811125	0.0301488	0.0339457	0.315232	0.0826045	0.106219	EAS
CEU	0.153587	0.318383	0.142723	0.0327734	0.0541925	0.0306934	0.123432	0.287544	0.152073	EUR
CHB	0.319388	0.217832	0.170714	0.0687423	0.031682	0.031952	0.260784	0.129736	0.11366	EAS
CHS	0.346465	0.192742	0.167147	0.0693173	0.0285806	0.0299844	0.274038	0.110249	0.100854	EAS
CLM	0.156002	0.208753	0.116454	0.0329038	0.0328376	0.0220534	0.132935	0.126363	0.0694478	AMR
ESN	0.0985995	0.0957632	0.0671012	0.0132146	0.00854051	0.00575756	0.0387289	-0.10845	-0.0803692	AFR
FIN	0.166078	0.255223	0.139656	0.0327496	0.0392115	0.027628	0.102164	0.232322	0.127302	EUR
GBR	0.155587	0.253844	0.133668	0.0308921	0.042738	0.0273256	0.129565	0.268133	0.157199	EUR
GIH	0.155038	0.239086	0.121339	0.0361574	0.0345063	0.0232828	0.170579	0.182852	0.0879999	SAS
GWD	0.0967773	0.0900297	0.062599	0.010501	0.00752261	0.00512255	0.0108053	-0.10243	-0.0791313	AFR
IBS	0.155432	0.245903	0.120101	0.0322381	0.0433792	0.024239	0.155933	0.241795	0.120365	EUR
ITU	0.161494	0.212241	0.117714	0.0389986	0.0313753	0.0226495	0.244423	0.14306	0.10399	SAS
JPT	0.330517	0.222531	0.175871	0.0622416	0.0296658	0.0294077	0.383359	0.120719	0.117855	EAS
KHV	0.357115	0.18704	0.1652	0.0747065	0.0311881	0.0332062	0.240631	0.0995958	0.0827707	EAS
LWK	0.0842734	0.0960214	0.0624097	0.0123674	0.00996083	0.0066504	-0.0183036	-0.0812857	-0.0792812	AFR
MSL	0.102834	0.090658	0.0636587	0.00880183	0.00641028	0.00457576	-0.0199853	-0.117219	-0.0769877	AFR
MXL	0.166487	0.269271	0.146633	0.0317457	0.0433734	0.0277795	0.136267	0.183563	0.106615	AMR
PEL	0.34719	0.351347	0.254698	0.065207	0.0498414	0.0444186	0.22834	0.217771	0.181473	AMR	
PJL	0.15685	0.247981	0.126275	0.0347023	0.0326278	0.0220372	0.182955	0.155667	0.096845	SAS
PUR	0.136074	0.212117	0.1115	0.0293052	0.0393846	0.0254269	0.128801	0.207305	0.130163	AMR
STU	0.148165	0.221456	0.119137	0.0324787	0.033265	0.0231706	0.164187	0.168842	0.100017	SAS
TSI	0.147947	0.267425	0.125914	0.0306537	0.0466212	0.0252814	0.115586	0.260314	0.120889	EUR
YRI	0.0971155	0.0885514	0.0631508	0.010225	0.00798633	0.00480962	-0.0272917	-0.110648	-0.112124	AFR
Maya_Chiapas	0.201291	0.217608	0.157521	0.0352763	0.0377671	0.0315406	-0.0329725	0.032722	0.0101962	AMR
Quechua	0.32987	0.305619	0.257197	0.0548687	0.0419428	0.0412698	0.0997853	0.0570954	0.0545321	AMR
