Pop	Mean_r2_Before	Mean_r2_After	Mean_r2_Across	Mean_D_Before	Mean_D_After	Mean_D_Across	Mean_Dprime_Before	Mean_Dprime_After	Mean_Dprime_Across	Region
ACB	0.11563	0.139472	0.0958259	0.0155781	0.0180158	0.0122683	0.0450432	0.128489	0.00423992	AFR
ASW	0.134688	0.192908	0.109125	0.0224235	0.0301354	0.0173597	0.146617	0.2998	0.0881108	AFR
BEB	0.188314	0.341121	0.176767	0.0448625	0.0801498	0.0452495	0.239432	0.573777	0.289442	SAS
CDX	0.419068	0.464643	0.37984	0.096942	0.109791	0.0888262	0.394787	0.61813	0.418385	EAS
CEU	0.191197	0.322912	0.166104	0.041159	0.0793792	0.0389594	0.163838	0.515236	0.181901	EUR
CHB	0.378326	0.397314	0.322169	0.0831614	0.0935022	0.0732029	0.326803	0.37292	0.286646	EAS
CHS	0.407854	0.427359	0.364691	0.0823005	0.0937238	0.0756727	0.328946	0.523684	0.333072	EAS
CLM	0.198643	0.330131	0.168129	0.0436851	0.0813338	0.0406289	0.170366	0.548674	0.1761	AMR
ESN	0.127189	0.18459	0.106503	0.0163105	0.0223432	0.0117579	0.0643044	0.151124	0.00539329	AFR
FIN	0.20486	0.325108	0.175129	0.0438593	0.0793062	0.0417444	0.160614	0.461986	0.194042	EUR
GBR	0.192912	0.295647	0.178191	0.0400846	0.067124	0.0401437	0.184485	0.51059	0.237496	EUR
GIH	0.191982	0.358266	0.17778	0.0459009	0.089411	0.0454467	0.207427	0.565507	0.233965	SAS
GWD	0.122863	0.177578	0.103333	0.0133264	0.0181373	0.0100944	0.0329402	0.211973	0.0190252	AFR
IBS	0.20078	0.282864	0.158407	0.0429522	0.0638283	0.0364126	0.225153	0.48694	0.198457	EUR
ITU	0.201311	0.311021	0.175153	0.0518053	0.0720682	0.0460181	0.300707	0.526021	0.299836	SAS
JPT	0.397383	0.482469	0.352146	0.0749031	0.105622	0.0725402	0.475548	0.555636	0.39765	EAS
KHV	0.413571	0.424739	0.360539	0.0881968	0.0975495	0.0793693	0.296162	0.487085	0.301359	EAS
LWK	0.10967	0.177329	0.0931306	0.0170996	0.0236049	0.0124394	0.0190039	0.140484	-0.0263095	AFR
MSL	0.125252	0.201294	0.107261	0.0112759	0.0209492	0.0093554	0.013533	0.314444	0.0404409	AFR
MXL	0.204959	0.330901	0.180804	0.0418359	0.0727736	0.0381822	0.183691	0.515649	0.178621	AMR
PEL	0.399518	0.68807	0.375138	0.0790191	0.131321	0.0738882	0.289238	0.56189	0.277182	AMR
PJL	0.194119	0.338746	0.174394	0.0450039	0.0746309	0.0420983	0.252	0.561982	0.27061	SAS
PUR	0.176137	0.273577	0.150455	0.040545	0.0672343	0.038304	0.208884	0.548123	0.24643	AMR
STU	0.184424	0.36186	0.172501	0.0443473	0.0790274	0.0437983	0.261435	0.596387	0.319567	SAS
TSI	0.182162	0.294243	0.151328	0.0374525	0.0681429	0.0331877	0.16036	0.533733	0.15934	EUR
YRI	0.122475	0.173045	0.105818	0.0123874	0.0175775	0.00903954	-0.00705709	0.16986	-0.0478061	AFR
Maya_Chiapas	0.222832	0.411594	0.210373	0.041037	0.103431	0.0464728	-0.0172835	0.498859	0.0738089	AMR
Quechua	0.37362	0.659013	0.391814	0.0670159	0.120148	0.0697685	0.144467	0.552915	0.176199	AMR
